model,method,repetition_rate,self_bleu,perplexity,human_perplexity,overconfidence_ratio,zipf_coefficient,num_outputs
qwen2.5-72b,beam_10,0.0,0.22246468672195685,1.4966708279765486,7.768301914467174,5.190387738745247,0.9101411938840713,20
qwen2.5-72b,pure_sampling,0.0,0.14095079958737836,3.118995435451287,7.768301914467174,2.4906422837849327,0.7731974835017364,20
qwen2.5-72b,top_k_40,0.0,0.11014681130261575,3.30678153127185,7.768301914467174,2.3492032482349505,0.7501316050051918,20
qwen2.5-72b,nucleus_0.95,0.0,0.12859003070673936,2.8815751532264593,7.768301914467174,2.6958526158060168,0.775582078523874,20
mixtral-8x7b,greedy,0.0,0.06703111427003944,2.1490695297353333,7.56827935627309,3.521654023546253,0.7885432164862402,20
mixtral-8x7b,beam_16,0.0,0.05726033765301501,2.158749454282266,7.568109734530027,3.505784202755594,0.8464527090253162,20
mixtral-8x7b,beam_10,0.0,0.06276610665744156,2.2427237252593177,7.568109734530027,3.3745171771681126,0.8550967818692956,20
mixtral-8x7b,pure_sampling,0.0,0.017901289553309045,12.833545698918678,7.568109734530027,0.5897130779039261,0.5543040038336413,20
mixtral-8x7b,top_k_40,0.0,0.03192167950433099,5.589711080280802,7.568109734530027,1.3539357626601765,0.6041932747581403,20
mixtral-8x7b,nucleus_0.95,0.0,0.03049940083990591,6.390357464712627,7.568109734530027,1.184301469255971,0.6253657431941608,20
mistral-7b,greedy,0.0,0.046690931480074846,2.004603712928709,9.007066446964215,4.4931905437833235,0.7870241041143213,20
mistral-7b,beam_16,0.0,0.07040428584470898,2.084499791367538,9.007066446964215,4.320972582614231,0.7497070788159074,20
mistral-7b,beam_10,0.0,0.06929626915322792,2.099075099205488,9.007066446964215,4.290969127485454,0.8047209182197825,20
mistral-7b,pure_sampling,0.0,0.015370791826451874,9.02002250058961,9.007066446964215,0.9985636340015174,0.5925308576298652,20
mistral-7b,top_k_40,0.0,0.02789294040385541,5.786837134792033,9.007066446964215,1.5564748475140748,0.6088879310431994,20
mistral-7b,nucleus_0.95,0.0,0.03510026216433075,6.520933846292396,9.007066446964215,1.3812540748416515,0.5914405274780374,20
mistral-small-3-24b,greedy,0.0,0.048025746179420216,1.9808540276733377,9.256147807575804,4.67280661687517,0.9618270069014342,20
mistral-small-3-24b,beam_16,0.0,0.018598108694733353,2.2015657714555052,9.256147807575804,4.204347618220988,0.9161023153958777,20
mistral-small-3-24b,beam_10,0.0,0.013129916506904243,2.1738673859921667,9.256147807575804,4.257917418155312,0.9174986445001017,20
mistral-small-3-24b,pure_sampling,0.0,0.017028760965339604,63.66411415794249,9.256147807575804,0.14539034949284757,0.5314808655456935,20
mistral-small-3-24b,top_k_40,0.0,0.03034845639921538,9.814118068817187,9.256147807575804,0.9431461637888537,0.6254432893315381,20
mistral-small-3-24b,nucleus_0.95,0.0,0.021930377204555002,15.661557341735174,9.256147807575804,0.5910106897805029,0.6055407212149839,20
llama3-70b,greedy,0.0,0.11825447299945205,2.317102797279679,7.2779348681175655,3.1409633084306807,0.7977525505206273,20
llama3-70b,beam_16,0.0,0.0687937029522396,1.8145949716975618,7.2779348681175655,4.010776499236645,0.9022038501389648,20
llama3-70b,beam_10,0.0,0.07555434398036949,1.8315888790427952,7.2779348681175655,3.9735635826316438,0.9166061997965768,20
llama3-70b,pure_sampling,0.0,0.04536381382412681,8.465017093234245,7.2779348681175655,0.8597661159992852,0.6558682159347091,20
llama3-70b,top_k_40,0.0,0.04708939694489834,5.335239080694368,7.2779348681175655,1.3641253480941216,0.6694455852879274,20
llama3-70b,nucleus_0.95,0.0,0.04281703908233086,4.142896608867688,7.2779348681175655,1.7567261641382663,0.7238174829065761,20
